time,h1,h2,h3,h4,h5,h6
04:00:00,3.395500622711728,3.7539097835889867,4.258891465250279,4.134046512980072,4.606059686816471,4.826301449883295
06:00:00,3.8121752133639606,4.091879608024936,4.499196787288477,4.469412803394017,4.860224695949159,5.0420392905394
08:00:00,4.7111375944045415,4.902008345045745,5.179051274152039,5.04107389086444,5.234711566500775,5.365915682125291
10:00:00,5.755893920004286,5.828433727555238,5.938869742431721,5.657236925704553,5.617249038257234,5.699382915346039
12:00:00,6.259156109298089,6.27284996021473,6.300910527677387,6.045626115744753,5.880867429016885,5.929725294417156
14:00:00,6.264103116358458,6.277893229162311,6.306149586203255,6.087803137436756,5.95586877201477,5.995501449792886
16:00:00,5.816689728767453,5.881716021493093,5.981794159738439,5.849599888783635,5.863186872843027,5.91556829671488
18:00:00,5.228191317347914,5.3549676101793215,5.543798231676921,5.505569435663451,5.690420405351631,5.768589266718093
20:00:00,4.714489884182154,4.925443864956067,5.221781119732683,5.219044207511323,5.537444029895563,5.644982530867324
22:00:00,4.381235319668834,4.7192488588718815,5.141322426162598,5.105839119756672,5.4825168734007415,5.61358431968272
00:00:00,3.547490555708872,3.946212130791599,4.478319941411703,4.241470722035069,4.644345364481492,4.868918092428596
